CustomerID,Age,Gender,Region,TotalSpend,PurchaseFrequency,LastPurchaseDate,LoyaltyScore,CategorySpend_Electronics,CategorySpend_Clothing,CategorySpend_Grocery,Segment
1001,28,Female,West,1200,15,2024-12-18,72,450,300,450,0
1002,35,Male,South,850,10,2024-12-10,55,200,250,400,0
1003,42,Female,East,2300,22,2024-12-20,88,900,700,700,2
1004,30,Male,North,400,5,2024-11-28,40,150,100,150,3
1005,51,Female,West,3100,30,2024-12-22,95,1200,900,1000,1
1006,23,Male,South,600,8,2024-12-05,48,250,150,200,3
1007,47,Female,East,1800,18,2024-12-15,80,700,500,600,2
1008,33,Male,North,950,12,2024-12-12,60,300,300,350,0
1009,29,Female,West,1400,16,2024-12-19,75,500,400,500,0
1010,55,Male,South,2700,25,2024-12-21,90,1000,800,900,1
1011,38,Female,East,1600,14,2024-12-17,70,600,450,550,0
1012,26,Male,North,500,6,2024-11-30,42,200,120,180,3
1013,49,Female,West,2900,28,2024-12-23,92,1100,850,950,1
1014,31,Male,South,750,9,2024-12-08,50,250,200,300,3
1015,45,Female,East,2100,20,2024-12-16,85,800,650,650,2
1016,27,Male,North,650,7,2024-12-03,45,220,180,250,3
1017,52,Female,West,3200,32,2024-12-24,97,1300,950,950,1
1018,34,Male,South,900,11,2024-12-11,58,300,280,320,0
1019,41,Female,East,1750,17,2024-12-14,78,650,500,600,2
1020,29,Male,North,550,6,2024-12-01,43,200,150,200,3
